hh_ids,hh_int_situation,hh_circ_move_why,hh_circ_move_when,hh_circ_problems,hh_inf_wall_material,hh_inf_roof_material,hh_inf_floor_material,hh_inf_cookfuel_source,hh_inf_lighting_source,hh_inf_water_source,hh_inf_rooms_habitable,hh_inf_rooms_other,hh_inf_toilet_type,hh_inf_toilet_shared,hh_inf_housing_type,hh_inf_electricity_access,hh_inf_interiorcond,hh_inf_exteriorcond,hh_asset_internet_access,hh_asset_iron_any,hh_asset_mosqnets_N,hh_asset_towels_N,hh_asset_fryingpan_N,hh_env_settingdesc,hh_env_desc,hh_env_dilapbuildings,hh_env_streets,hh_env_trash,hh_ownership_type,hh_ownership_plotacquisition,hh_ownership_houseacquisition,hh_ownership_docu,hh_otherprop_any,hh_otherprop_N,hh_otherprop1_docu,hh_otherprop1_use,hh_otherprop1_value,hh_otherprop2_use,hh_otherprop2_value,hh_otherprop2_docu,hh_otherprop3_docu,hh_otherprop3_use,hh_otherprop3_value,hh_othershamba_N,hh_othershamba1_docu,hh_othershamba1_use,hh_othershamba1_value,hh_othershamba2_docu,hh_othershamba2_use,hh_othershamba2_value,hh_othershamba3_docu,hh_othershamba3_use,hh_othershamba3_value
"KNBOM39","01=Initial questionnaire","03=Started own household",6/1/2012,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped into dwelling",1,0,"Main sewer","Shared","House/bungalow","Yes, own electricity","No major problems","No major problems","Own mobile phone","Yes",0,1,0,"Urban","03=Single family attached houses","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK35","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",6/1/2012,"04=Pests: mice, rats, roaches, bedbugs, other insects","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped into dwelling",2,1,"Main sewer","Private","Flat",,"No major problems","No major problems","Own mobile phone","Yes",2,3,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS28","01=Initial questionnaire","13=Change from renter to owner",8/1/2010,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Protected well",3,2,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",4,0,2,"Rural","03=Single family attached houses","02=Most of them","02=Crowded streets and paths","98=None",1,"Bought plot using assets/savings kept elsewhere","Bought already built land using other savings/assets","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT32","01=Initial questionnaire","03=Started own household",1/1/2000,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Purchased firewood","Electricity","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Private","House/bungalow","Yes, own electricity","No major problems","No major problems","Own mobile phone","Yes",9,3,2,"Rural","02=Single family detached houses","98=None","03=Garbage","01=Minor accumulation",1,"Bought plot using credit/loan from bank, SACCO, or MFI","Built using credit/loan from bank, SACCO, or MFI","No written agreement","Yes",1,"01=No written agreement","03=Rental or commercial",500000,"",,"","","",,2,"01=No written agreement","04=Agricultural property",200000,"01=No written agreement","04=Agricultural property",200000,"","",
"KNBOM40","01=Initial questionnaire","19=Disaster or conflict (fire, flood, electoral violence)",3/15/2008,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped into dwelling",2,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","No major problems","No major problems","Does not access internet","Yes",2,3,1,"Urban","06=Busy road or highway","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"Yes",2,"02=Yes, a written agreement, but not a title deed","05=Currently unused",250000,"05=Currently unused",250000,"02=Yes, a written agreement, but not a title deed","","",,,"","",,"","",,"","",
"KMOMT31","01=Initial questionnaire","15=Needed larger house or apartment",6/1/2012,"02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,0,"Bush","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,0,2,"Rural","02=Single family detached houses","01=A few of them","03=Garbage","01=Minor accumulation",1,"Gift from community, family, friends","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KVIHK40","01=Initial questionnaire","02=Marriage",1/1/2005,"09=None","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Purchased firewood","Paraffin","Piped somewhere else (outside, neighbor)",2,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Own mobile phone","Yes",2,3,1,"Rural","03=Single family attached houses","01=A few of them","no major issues","98=None",1,"Inherited","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT33","01=Initial questionnaire","08=Seeking better business opportunities",4/1/2006,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,07=Extremely hot or cold","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Charcoal","Electricity","Piped somewhere else (outside, neighbor)",4,0,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","No major problems","Does not access internet","Yes",3,1,2,"Rural","","","","",1,"Gift from community, family, friends","Used local materials","No written agreement","Yes",0,"","",,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","05=Currently unused",300000,"","",,"","",
"KNBOM42","01=Initial questionnaire","15=Needed larger house or apartment",3/22/2012,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Electricity","Water vendor",2,0,"Pit latrine, uncovered","Shared","House/bungalow","No access","Dilapidated","Needs substantial painting, refilling, repair","Own mobile phone","No",2,2,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"Yes",1,"01=No written agreement","01=Personal use,04=Agricultural property",200000,"",,"","","",,,"","",,"","",,"","",
"KNBOK34","01=Initial questionnaire","20=Health reasons",4/1/2012,"09=None","Brick/block","Concrete","Cement/Concrete/Slab","Paraffin","Electricity","Piped into dwelling",1,1,"Main sewer","Shared","Flat","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Own mobile phone","Yes",0,4,1,"Urban","04=Mult- unit residential buildings (flats)","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KZIMA04","01=Initial questionnaire","11=To be closer to work or school",1/1/2006,"09=None","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Main sewer","Shared","House/bungalow","Yes, own electricity",,,"Cyber cafe","No",0,3,1,,"","","","",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KZIMA05","01=Initial questionnaire","09=Other employment related reason,12=Wanted better neighborhood",1/1/2013,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Main sewer","Private","Flat","Yes, own electricity","No major problems","No major problems","Does not access internet","Yes",1,3,1,"Urban","02=Single family detached houses","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KZIMA08","01=Initial questionnaire","03=Started own household",2/1/2013,"09=None","Stone","Concrete","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Main sewer","Shared","Flat","Yes, own electricity",,,"Own mobile phone","Yes",1,2,1,,"","","","",4,,,,"Yes",1,"01=No written agreement","01=Personal use,04=Agricultural property",30000,"",,"","","",,,"","",,"","",,"","",
"KMOMK01","01=Initial questionnaire","05=To be closer to family,10=To start or return from the university, college, other school",1/1/1981,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","No access","Needs substantial painting, refilling, repair","No major problems","Does not access internet","Yes",4,0,0,"Rural","02=Single family detached houses","98=None","03=Garbage","01=Minor accumulation",1,"Land grab","Built using credit/loan from elsewhere","No written agreement","Yes",0,"","",,"",,"","","",,4,"01=No written agreement","05=Currently unused",7000,"01=No written agreement","05=Currently unused",10000,"01=No written agreement","05=Currently unused",3500
"KMOMK03","01=Initial questionnaire","13=Change from renter to owner,17=Private displacement (owner moved into unit, unit sold)",5/6/1996,"07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Purchased firewood","Paraffin","Borehole",5,1,"Pit latrine, uncovered","Shared","House/bungalow","No access","Some peeling paint, cracks in walls, rusted iron sheets",,"Own mobile phone","Yes",10,3,6,"Rural","","","","",1,,"Built using credit/loan from bank, SACCO, or MFI",,"Yes",1,"its also another asset owned by the group","03=Rental or commercial",600000,"03=Rental or commercial",300000,"owned generally by the group but working towards individual ownr","","",,1,"02=Yes, a written agreement, but not a title deed","03=Rental or commercial",1000000,"02=Yes, a written agreement, but not a title deed","05=Currently unused",800000,"","",
"KMOMK04","01=Initial questionnaire","01=No move",1/1/1999,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Piped somewhere else (outside, neighbor)",2,1,"Pit latrine, uncovered","Shared","House/bungalow","Yes, own electricity","No major problems","No major problems","Does not access internet","Yes",1,3,1,"Rural","","","","",1,"Inherited","Built using credit/loan from elsewhere","No written agreement","Yes",1,"Its on a family plot","05=Currently unused",500000,"",,"","","",,,"","",,"","",,"","",
"KMOMK06","01=Initial questionnaire","",1/1/2008,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,06=Insecure or crumbling walls,07=Extremely hot or cold","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Borehole",1,0,"Bush",,"Other temporary or semi-permanent structure","No access","Needs substantial painting, refilling, repair","Dilapidated","Does not access internet","No",2,0,0,"Rural","02=Single family detached houses","01=A few of them","","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMK08","01=Initial questionnaire","08=Seeking better business opportunities",1/1/1970,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Grass, thatch, makuti","Cement/Concrete/Slab","Collected firewood","Electricity","Piped into dwelling",8,1,"Pit latrine, covered","Private","House/bungalow","Yes, own electricity","No major problems","No major problems","Own mobile phone","Yes",10,10,2,"Rural","02=Single family detached houses","01=A few of them","","01=Minor accumulation",1,"Bought plot using assets/savings kept elsewhere",,"Yes, a written agreement, but not a title deed","Yes",,"","",,"",,"","","",,,"have an allotment lette","04=Agricultural property",1500000,"","",,"","",
"KMOMT01","01=Initial questionnaire","05=To be closer to family",1/1/1971,"02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Shared","House/bungalow","No access","No major problems","Needs substantial painting, refilling, repair","Does not access internet","No",10,10,2,"Rural","02=Single family detached houses","98=None","03=Garbage","98=None",1,"Inherited","Built using assets/savings kept elsewhere","Yes, a written agreement, but not a title deed","Yes",2,"03=Yes, a title deed","04=Agricultural property",500000,"04=Agricultural property",,"01=No written agreement","","",,0,"","",,"","",,"","",
"KMOMT02","01=Initial questionnaire","02=Marriage",1/1/1999,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","Yes",6,0,0,"Rural","07=Open space, park, forest, farm, ranch","98=None","just their shamba, where tghey have also tied their cows","98=None",1,"Inherited","Built with savings in bank, SACCO, MFI","Yes, a written agreement, but not a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT03","01=Initial questionnaire","07=New job or job transfer",3/5/2011,"04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Asbestos sheet","Cement/Concrete/Slab","Collected firewood","Paraffin","Piped into dwelling",2,0,"Septic tank","Shared","Swahili type house","No access","No major problems","No major problems","Does not access internet","Yes",2,0,2,"Rural","05=Commercial or institutional property","98=None","","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT06","01=Initial questionnaire","05=To be closer to family,07=New job or job transfer,13=Change from renter to owner",1/6/2006,"01=Leaky roof or ceilling,03=Broken or missing windows","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Charcoal","Paraffin","Piped somewhere else (outside, neighbor)",2,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","Yes",10,6,2,"Rural","02=Single family detached houses","98=None","03=Garbage","01=Minor accumulation",1,"Gift from community, family, friends","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT12","01=Initial questionnaire","02=Marriage",6/1/1996,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,06=Insecure or crumbling walls","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,0,0,"Rural","05=Commercial or institutional property","98=None","","01=Minor accumulation",1,"Bought plot using assets/savings kept elsewhere",,"Yes, a written agreement, but not a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT15","01=Initial questionnaire","08=Seeking better business opportunities",1/1/1986,"02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,06=Insecure or crumbling walls,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Shared","Swahili type house","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",5,0,2,"Rural","02=Single family detached houses","01=A few of them","","01=Minor accumulation",1,"Bought plot using assets/savings kept elsewhere","Built using ROSCA and regular income to buy materials kidogo-kidogo","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT16","01=Initial questionnaire","19=Disaster or conflict (fire, flood, electoral violence)",1/1/2005,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,06=Insecure or crumbling walls","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Purchased firewood","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Bush",,"Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,0,3,"Rural","02=Single family detached houses","98=None","open fileds used as shambas","01=Minor accumulation",1,,"Used local materials","Yes, a written agreement, but not a title deed","Yes",1,"03=Yes, a title deed","02=Used by friends and family",2000000,"",,"","","",,0,"","",,"","",,"","",
"KMOMT18","01=Initial questionnaire","02=Marriage",1/1/2008,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Piped somewhere else (outside, neighbor)",3,2,"Septic tank","Private","House/bungalow","No access","No major problems","No major problems","Does not access internet","No",4,4,1,"Rural","02=Single family detached houses","01=A few of them","","98=None",1,"Inherited",,"Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT19","01=Initial questionnaire","03=Started own household",5/1/2005,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",2,0,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",5,1,0,"Rural","03=Single family attached houses","98=None","03=Garbage","01=Minor accumulation",1,"Gift from community, family, friends",,"No written agreement","Yes",,"","",,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","05=Currently unused",300000,"","",,"","",
"KMOMT22","01=Initial questionnaire","05=To be closer to family",1/1/1981,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood",,"Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",8,2,2,"Rural","02=Single family detached houses","98=None","open fields","98=None",1,"Inherited","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE01","01=Initial questionnaire","03=Started own household",1/1/1984,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","Shack","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",2,0,1,"Rural","02=Single family detached houses","01=A few of them","none","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","Yes",,"","",,"",,"","","",,1,"01=No written agreement","04=Agricultural property",100000,"","",,"","",
"KMAKE03","01=Initial questionnaire","03=Started own household",1/1/1986,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Dam",2,1,"Pit latrine, covered","Shared","Shack","No access","Dilapidated","Dilapidated","Does not access internet","No",1,2,1,"Rural","02=Single family detached houses","01=A few of them","none","01=Minor accumulation",1,"Inherited","Used local materials","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE05","01=Initial questionnaire","02=Marriage",1/1/1984,"04=Pests: mice, rats, roaches, bedbugs, other insects",,,,"Collected firewood","Paraffin","Dam",3,2,"Pit latrine, covered","Private",,"No access",,,"Does not access internet","No",0,0,1,"Rural","","","","",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE06","01=Initial questionnaire","02=Marriage",,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Stream/River",4,3,"Pit latrine, covered","Shared","House/bungalow","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",3,3,2,"Rural","02=Single family detached houses","01=A few of them","none","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","Yes",,"","",,"",,"","","",,1,"01=No written agreement","04=Agricultural property",500000,"","",,"","",
"KMAKE07","01=Initial questionnaire","20=Health reasons",7/14/2000,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","House/bungalow","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",0,0,1,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","eroded","01=Minor accumulation",1,"Inherited",,"No written agreement","Yes",,"","",,"",,"","","",,1,"01=No written agreement","04=Agricultural property",500000,"","",,"","",
"KMAKE08","01=Initial questionnaire","03=Started own household",1/1/1979,"04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","House/bungalow","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",1,0,2,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","dusty","01=Minor accumulation",1,"Inherited",,"No written agreement","Yes",1,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",100000,"",,"","","",,,"","",,"","",,"","",
"KMAKE09","01=Initial questionnaire","03=Started own household",8/1/1986,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Solar","Rain/harvested",5,3,"Pit latrine, uncovered","Private","House/bungalow","No access","No major problems","No major problems","Does not access internet","Yes",4,6,2,"Rural","07=Open space, park, forest, farm, ranch","02=Most of them","dusty","01=Minor accumulation",1,"Inherited","Built using credit/loan from bank, SACCO, or MFI","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE10","01=Initial questionnaire","02=Marriage",1/10/1999,"07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","House/bungalow","No access","Needs substantial painting, refilling, repair","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",2,3,1,"Rural","02=Single family detached houses","98=None","dusty","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","Yes",,"","",,"",,"","","",,1,"03=Yes, a title deed","04=Agricultural property",300000,"","",,"","",
"KMAKE11","01=Initial questionnaire","01=No move",1/1/1999,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Unprotected spring",5,3,"Pit latrine, uncovered","Private","House/bungalow","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",2,2,1,"Rural","02=Single family detached houses","01=A few of them","dusty","01=Minor accumulation",1,"Inherited","Built with savings in bank, SACCO, MFI","No written agreement","Yes",1,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",200000,"",,"","","",,,"","",,"","",,"","",
"KMAKE12","01=Initial questionnaire","03=Started own household",1/1/2008,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",3,1,"Pit latrine, covered","Private","Shack","No access","Dilapidated","Dilapidated","Does not access internet","Yes",3,1,1,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","none","01=Minor accumulation",1,"Inherited",,"No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE13","01=Initial questionnaire","03=Started own household",1/1/1997,"02=Lack of doors or inability to lock house,03=Broken or missing windows","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","Shack","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",0,1,1,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","none","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE14","01=Initial questionnaire","01=No move",,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Solar","Unprotected spring",4,2,"Pit latrine, uncovered","Private","House/bungalow","No access","No major problems","No major problems","Cyber cafe","Yes",0,2,0,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","dusty","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","Yes",1,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",70000,"",,"","","",,,"","",,"","",,"","",
"KMAKE15","01=Initial questionnaire","09=Other employment related reason",6/1/2007,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Stream/River",4,3,"Pit latrine, covered","Private","House/bungalow","No access","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Does not access internet","No",2,4,2,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","very small paths passing between shambas","01=Minor accumulation",1,"Inherited","Built with savings in bank, SACCO, MFI","No written agreement","Yes",1,"03=Yes, a title deed","05=Currently unused",1500000,"",,"","","",,,"","",,"","",,"","",
"KMAKE16","01=Initial questionnaire","03=Started own household",1/1/2002,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",2,1,"Pit latrine, covered","Private","House/bungalow","No access","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Does not access internet","No",2,0,1,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","very dusty and eroded","01=Minor accumulation",1,"Inherited","Built using assets/savings kept elsewhere","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKE17","01=Initial questionnaire","02=Marriage",1/1/1998,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Stream/River",3,2,"Pit latrine, covered","Private","House/bungalow","No access","Needs substantial painting, refilling, repair","No major problems","Does not access internet","No",2,0,1,"Rural","02=Single family detached houses","01=A few of them","dusty","01=Minor accumulation",1,"Inherited","Built using ROSCA and regular income to buy materials kidogo-kidogo","No written agreement","Yes",1,"03=Yes, a title deed","05=Currently unused",,"",,"","","",,,"","",,"","",,"","",
